COMID,lat,lon,frac_1,frac_2,frac_5,frac_6,frac_8,frac_10,frac_11,frac_12,frac_14,frac_16,frac_17,frac_18,frac_19
71030838,51.1534663574323,-115.968905505794,0.440102905035019,0.0139922499656677,0,0.000443857832578942,0.0216657314449549,0.0538857467472553,0,0.000207765246159397,0.00131381920073181,0.341908514499664,0,0.016049899160862,0.110429503023624
71030896,51.1477363459474,-115.853183876812,0.467980682849884,0.0402653813362122,0.00123988348059356,0.00301593285985291,0.0841232538223267,0.142029091715813,0.0011606301413849,0.000964145117904991,0.00974892638623714,0.245934054255486,0,0.000469145103124902,0.00306887971237302
71031094,51.2558967160116,-115.614485990585,0.480358451604843,0.0296819172799587,0.00173198466654867,0.0283775422722101,0.0325195677578449,0.0617124140262604,0,0,0.000937783450353891,0.363289088010788,0,0,0.00139126635622233
71031120,51.241999976797,-116.019043807137,0.676337659358978,0.019779609516263,0,0.00103488855529577,0.0188501141965389,0.0433006100356579,0,0.000107964813651051,0.000451558036729693,0.181831002235413,0.00423007365316153,0.0203092414885759,0.0337672643363476
71031296,51.2737546935475,-115.701851231395,0.441931545734406,0.02458356320858,0.00133074156474322,0.00637405924499035,0.0315340645611286,0.0738502070307732,0,0.000414651352912188,0.00126324023585767,0.415998548269272,0,0.00239147758111358,0.00032786387600936
71031359,51.3244591770388,-116.184460570314,0.335665047168732,0.0326398462057114,0.00090029533021152,0.00183163536712527,0.0299669429659843,0.0455438010394573,0.000186267992830835,0.000993429333902895,0.00240812986157835,0.429887443780899,0.00410907668992877,0.016065614297986,0.0998024418950081
71031503,51.3639509409568,-116.230047287267,0.388593435287476,0.0254858247935772,0.00014416546036955,0.00389246759004891,0.0285148620605469,0.0486218482255936,0.000120137890917249,0,0.000597333186306059,0.38994362950325,0.00183871446643025,0.0140321049839258,0.0982154309749603
71031506,51.3373553038256,-115.871350558374,0.383392184972763,0.019627645611763,0.00157187727745622,0.00219331705011427,0.029510460793972,0.101973474025726,0.000248575932346284,0.000212020662729628,0.0017398203490302,0.449020236730576,0.000818027590867132,0.00402839248999953,0.00566394068300724
71031643,51.3964835582034,-116.254430231879,0.268762707710266,0.0207687020301819,0.000469244288979098,0.00331403780728579,0.0310583058744669,0.0319746285676956,0,0,0.002199582522735,0.371085286140442,0.00918202940374613,0.03249516710639,0.228690296411514
71031654,51.4529376287144,-116.113206678435,0.432328224182129,0.0332615897059441,0.00449636578559875,0.00674454867839813,0.0729789510369301,0.154484242200851,0.000207069475436583,0.00165000068955123,0.00357934390194714,0.279164254665375,0.00272179138846695,0.00431901123374701,0.00406461907550693
71031687,51.3975736284889,-115.999370227783,0.13755002617836,0.0612340271472931,0,0.000257751788012683,0.00415624771267176,0.0295018032193184,0,0.00115988310426474,0,0.721400022506714,0,0.010890013538301,0.0338502563536167
71031838,51.4618402204994,-116.012216265259,0.176070302724838,0.0238846447318792,0.000392509129596874,0.00201840722002089,0.0457222871482372,0.195012837648392,0,0.00112294207792729,0.00583402626216412,0.522857904434204,0,0.0204052664339542,0.00667891558259726
71031893,51.4812741637568,-116.317553577754,0.462286055088043,0.020802678540349,0.00222743768244982,0.000954616174567491,0.00804738979786634,0.0337650068104267,0,0,0.00255875498987734,0.321473956108093,0.00505047431215644,0.00980171654373407,0.133031949400902
71032102,51.538594011375,-116.095912791346,0.424597680568695,0.0303188432008028,0.000318293372401968,0.00235887290909886,0.026881730183959,0.0722909495234489,0.000131061984575354,0.000580417341552675,0.00458716927096248,0.39628404378891,0,0.0134432148188353,0.0282077044248581
71032185,51.5923866926226,-116.413783193571,0.143669545650482,0.00622579408809543,0.00039013908826746,0.0014095347141847,0.00609848601743579,0.0603280141949654,0,0.000163606702699326,0.000553745776414871,0.411822617053986,0,0.0946236252784729,0.274714857339859
71032217,51.5976772481789,-116.224404907687,0.277466982603073,0.0223581325262785,0.000744254037272185,0.00291367527097464,0.0417260751128197,0.181735679507256,0.00012668153794948,0.00160282664000988,0.00592236174270511,0.372189193964005,0,0.00427550170570612,0.0889386013150215
71032292,51.6257915185727,-116.088587009548,0.0831270068883896,0.0229888129979372,0,0,0.0039036690723151,0.0821449980139732,0,0.000211009144550189,0.000564489397220314,0.681620717048645,0,0.00277828704565763,0.122661046683788
71032409,51.6616688336313,-116.176103865323,0.215412467718124,0.00759964715689421,0.000478786183521152,0.0015457954723388,0.0410237014293671,0.164899840950966,0,0.00143635855056345,0.0150511041283607,0.512702703475952,0,0.0129819456487894,0.026867687702179
71032422,51.6707103624405,-116.304323222782,0.168541476130486,0.0161164458841085,0.000388773943996057,0.000918920210096985,0.0132506899535656,0.179693713784218,0,0.000367227534297854,0.00210291356779635,0.597088217735291,0.000951054564211518,0.00254470203071833,0.0180358253419399
71032440,51.6657032004529,-116.444195307557,0.293570250272751,0.0158103294670582,0.00011774328595493,0.00110521074384451,0.0163463354110718,0.107879914343357,0.000233313723583706,0.00111015106085688,0.000529844779521227,0.394408196210861,0.0060264733619988,0.0390403121709824,0.123821899294853
